,rateCareerOpportunities,rateCompensation_Benefits,rateCultureValues,rateGeneralView,rateOpinionAboutManagement,rateWorklifeBalance,rateCeoApproval,ratePositiveBusinessView,rateRecommendToFriend,NombreEmpresa,codigo_pais,sub_region
12995,5.0,5.0,5.0,4.0,5.0,4.0,1.0,1.0,1.0,Sorabel,ID,South-eastern Asia
12996,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,Sorabel,ID,South-eastern Asia
12997,4.0,5.0,4.0,5.0,4.0,5.0,1.0,1.0,1.0,Sorabel,ID,South-eastern Asia
12998,4.0,4.0,4.0,4.0,4.0,4.0,0.0,1.0,0.0,IPSEN,FR,Western Europe
12999,5.0,2.0,2.0,3.0,3.0,3.0,1.0,3.0,1.0,A12 Consultants,NL,Western Europe
13000,4.0,4.0,4.0,4.0,5.0,4.0,1.0,1.0,1.0,A12 Consultants,NL,Western Europe
13001,1.0,3.0,3.0,3.0,1.0,3.0,0.0,2.0,1.0,Gulf Bankers Executive Search,SA,Western Asia
13002,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,CybelAngel,FR,Western Europe
13003,4.0,3.0,3.0,4.0,3.0,2.0,1.0,1.0,1.0,CybelAngel,FR,Western Europe
13004,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,CybelAngel,FR,Western Europe
13005,3.0,3.0,3.0,4.0,3.0,5.0,3.0,2.0,2.0,CybelAngel,FR,Western Europe
13006,4.0,4.0,4.0,4.0,4.0,5.0,1.0,1.0,1.0,CybelAngel,FR,Western Europe
13007,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,European Network of Transmission System Operators for Electricity,BE,Western Europe
13008,3.0,2.0,4.0,4.0,5.0,4.0,1.0,1.0,1.0,Recreo,AU,Australia and New Zealand
13009,3.0,2.0,4.0,4.0,3.0,3.0,1.0,1.0,1.0,Recreo,AU,Australia and New Zealand
13010,3.0,2.0,4.0,3.0,3.0,4.0,0.0,0.0,0.0,Recreo,AU,Australia and New Zealand
13011,2.0,4.0,3.0,3.0,3.0,5.0,1.0,3.0,1.0,La Crème,IE,Northern Europe
13012,2.0,4.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,La Crème,IE,Northern Europe
13013,4.0,2.0,5.0,4.0,2.0,3.0,3.0,1.0,1.0,MFG Labs,FR,Western Europe
13014,5.0,5.0,5.0,5.0,5.0,5.0,0.0,1.0,1.0,Believe Resourcing,ZA,Sub-Saharan Africa
13015,5.0,5.0,3.0,5.0,5.0,5.0,1.0,1.0,1.0,Prodapt Solutions,IN,Southern Asia
13016,3.0,3.0,4.0,4.0,3.0,2.0,1.0,2.0,1.0,Prodapt Solutions,IN,Southern Asia
13017,4.0,4.0,4.0,4.0,4.0,4.0,1.0,0.0,0.0,Prodapt Solutions,IN,Southern Asia
13018,4.0,4.0,4.0,5.0,4.0,4.0,3.0,1.0,1.0,Prodapt Solutions,IN,Southern Asia
13019,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,Prodapt Solutions,IN,Southern Asia
13020,5.0,5.0,5.0,5.0,4.0,4.0,0.0,1.0,1.0,Techem,DE,Western Europe
13021,2.0,3.0,3.0,3.0,1.0,3.0,3.0,2.0,2.0,Techem,DE,Western Europe
13022,5.0,5.0,5.0,5.0,5.0,5.0,0.0,1.0,1.0,Techem,DE,Western Europe
13023,4.0,4.0,5.0,4.0,2.0,2.0,1.0,1.0,1.0,Direct Medica,FR,Western Europe
13024,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,Direct Medica,FR,Western Europe
13025,4.0,4.0,4.0,4.0,3.0,4.0,0.0,0.0,0.0,Direct Medica,FR,Western Europe
13026,5.0,5.0,5.0,5.0,4.0,5.0,1.0,1.0,1.0,Direct Medica,FR,Western Europe
13027,5.0,4.0,5.0,5.0,4.0,5.0,1.0,1.0,1.0,Cactus Global,IN,Southern Asia
13028,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,Cactus Global,IN,Southern Asia
13029,4.0,4.0,4.0,5.0,5.0,5.0,1.0,1.0,1.0,Cactus Global,IN,Southern Asia
13030,2.0,2.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,Musixmatch,IT,Southern Europe
13031,3.0,3.0,4.0,4.0,3.0,5.0,3.0,2.0,1.0,Bonify,DE,Western Europe
13032,4.0,3.0,4.0,4.0,3.0,4.0,1.0,1.0,1.0,Bonify,DE,Western Europe
13033,3.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,Bonify,DE,Western Europe
13034,4.0,4.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,Bonify,DE,Western Europe
13035,4.0,3.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,Bonify,DE,Western Europe
13036,5.0,4.0,5.0,5.0,5.0,4.0,1.0,1.0,1.0,Heartland Farm Mutual,CA,Northern America
13037,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,Heartland Farm Mutual,CA,Northern America
13038,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,Heartland Farm Mutual,CA,Northern America
13039,5.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,1.0,Heartland Farm Mutual,CA,Northern America
13040,5.0,5.0,5.0,5.0,4.0,5.0,1.0,1.0,1.0,Heartland Farm Mutual,CA,Northern America
13041,4.0,5.0,5.0,5.0,4.0,5.0,1.0,1.0,1.0,MCX,IN,Southern Asia
13042,4.0,4.0,4.0,4.0,4.0,5.0,1.0,0.0,1.0,MCX,IN,Southern Asia
13043,2.0,4.0,4.0,3.0,2.0,4.0,0.0,0.0,1.0,MCX,IN,Southern Asia
13044,4.0,5.0,3.0,4.0,3.0,3.0,1.0,2.0,1.0,MCX,IN,Southern Asia
13045,3.0,4.0,5.0,3.0,4.0,5.0,0.0,0.0,0.0,MCX,IN,Southern Asia
13046,2.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,Zodiac Aerospace,FR,Western Europe
13047,3.0,2.0,4.0,3.0,3.0,2.0,3.0,2.0,1.0,Access Analytical Laboratories,AU,Australia and New Zealand
13048,3.0,5.0,4.0,5.0,5.0,5.0,3.0,1.0,1.0,Greyhound Racing Victoria,AU,Australia and New Zealand
13049,3.0,5.0,4.0,4.0,5.0,5.0,3.0,1.0,1.0,Greyhound Racing Victoria,AU,Australia and New Zealand
13050,5.0,4.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,Greyhound Racing Victoria,AU,Australia and New Zealand
13051,3.0,2.0,4.0,3.0,2.0,4.0,0.0,1.0,1.0,PGWC,ZA,Sub-Saharan Africa
13052,1.0,4.0,2.0,2.0,1.0,3.0,0.0,2.0,2.0,PGWC,ZA,Sub-Saharan Africa
13053,3.0,4.0,3.0,3.0,3.0,5.0,0.0,2.0,1.0,PGWC,ZA,Sub-Saharan Africa
13054,3.0,3.0,4.0,2.0,1.0,3.0,0.0,2.0,2.0,PGWC,ZA,Sub-Saharan Africa
13055,1.0,4.0,2.0,1.0,2.0,4.0,0.0,2.0,2.0,PGWC,ZA,Sub-Saharan Africa
13056,5.0,5.0,4.0,5.0,5.0,4.0,1.0,1.0,1.0,Medisca,CA,Northern America
13057,1.0,4.0,3.0,1.0,0.0,4.0,2.0,3.0,2.0,Medisca,CA,Northern America
13058,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,Medisca,CA,Northern America
13059,4.0,4.0,4.0,4.0,3.0,4.0,1.0,1.0,1.0,Medisca,CA,Northern America
13060,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,ANSR,IN,Southern Asia
13061,2.0,2.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,ANSR,IN,Southern Asia
13062,4.0,5.0,5.0,5.0,5.0,5.0,3.0,1.0,1.0,Flying Tiger Copenhagen,DK,Northern Europe
13063,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,Flying Tiger Copenhagen,DK,Northern Europe
13064,1.0,2.0,2.0,1.0,1.0,1.0,0.0,3.0,2.0,Synergix Technologies Pte Ltd,SG,South-eastern Asia
13065,2.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,Synergix Technologies Pte Ltd,SG,South-eastern Asia
13066,5.0,4.0,5.0,5.0,5.0,5.0,0.0,0.0,1.0,TDS,US,Northern America
13067,1.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,TDS,US,Northern America
13068,3.0,3.0,5.0,5.0,5.0,5.0,0.0,1.0,1.0,Sinclair Dental,CA,Northern America
13069,2.0,4.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,SeLoger,FR,Western Europe
13070,4.0,3.0,4.0,4.0,4.0,3.0,1.0,1.0,1.0,SeLoger,FR,Western Europe
13071,1.0,1.0,1.0,3.0,1.0,2.0,2.0,3.0,2.0,SeLoger,FR,Western Europe
13072,4.0,2.0,4.0,5.0,5.0,5.0,1.0,1.0,1.0,SeLoger,FR,Western Europe
13073,2.0,2.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0,Uranet,BR,Latin America and the Caribbean
13074,4.0,5.0,5.0,5.0,5.0,5.0,0.0,1.0,1.0,Uranet,BR,Latin America and the Caribbean
13075,4.0,3.0,3.0,3.0,3.0,4.0,0.0,2.0,1.0,Uranet,BR,Latin America and the Caribbean
13076,5.0,3.0,3.0,3.0,3.0,4.0,0.0,3.0,1.0,Uranet,BR,Latin America and the Caribbean
13077,4.0,4.0,4.0,3.0,4.0,3.0,0.0,2.0,1.0,Uranet,BR,Latin America and the Caribbean
13078,5.0,5.0,5.0,5.0,2.0,4.0,0.0,1.0,1.0,Nividous,IN,Southern Asia
13079,5.0,4.0,5.0,5.0,5.0,5.0,0.0,1.0,1.0,Nividous,IN,Southern Asia
