,salario,NombreEmpresa,modalidad,Plataforma,Fecha,salary.country.currency.currencyCode,PuestoTrabajo,pais,codigo_pais,sub_region
91,67428.0,Itera (Mexico),presencial,glassdoor,2019-10-31,,data analyst,Mexico,MX,Latin America and the Caribbean
92,67532.0,HP Inc.,presencial,glassdoor,2019-11-08,GBP,data analyst,Mexico,MX,Latin America and the Caribbean
93,70070.0,Rise Interactive,presencial,glassdoor,2019-11-06,,data analyst,Mexico,MX,Latin America and the Caribbean
94,681.0,PepsiCo,presencial,glassdoor,2019-10-21,GBP,data analyst,Mexico,MX,Latin America and the Caribbean
95,10458.0,Johnson Controls,presencial,glassdoor,2019-11-08,GBP,data analyst,Mexico,MX,Latin America and the Caribbean
96,15489.0,DXC Technology,presencial,glassdoor,2019-10-24,GBP,data analyst,Mexico,MX,Latin America and the Caribbean
97,35601.0,Hewlett Packard Enterprise | HPE,presencial,glassdoor,2019-10-19,GBP,data analyst,Mexico,MX,Latin America and the Caribbean
98,139183.0,DXC Technology,presencial,glassdoor,2019-10-24,GBP,data analyst,Mexico,MX,Latin America and the Caribbean
99,139849.0,Mattel,presencial,glassdoor,2019-10-21,GBP,data analyst,Mexico,MX,Latin America and the Caribbean
100,139942.0,International Paper,presencial,glassdoor,2019-11-06,,data analyst,Mexico,MX,Latin America and the Caribbean
101,140883.0,Danfoss,presencial,glassdoor,2019-10-29,,data analyst,Mexico,MX,Latin America and the Caribbean
102,140956.0,Call Center Services International (CCSI),presencial,glassdoor,2019-09-24,,data analyst,Mexico,MX,Latin America and the Caribbean
103,66399.0,Transfast,presencial,glassdoor,2019-10-22,GBP,data analyst,Mexico,MX,Latin America and the Caribbean
104,66502.0,Avantor,presencial,glassdoor,2019-10-14,GBP,data analyst,Mexico,MX,Latin America and the Caribbean
105,74976.0,Primeworks Studios (M),presencial,glassdoor,2019-11-07,,data analyst,Mexico,MX,Latin America and the Caribbean
106,97385.0,Marsh & McLennan Companies,presencial,glassdoor,2019-11-08,GBP,data analyst,Mexico,MX,Latin America and the Caribbean
107,95745.0,Eaton,presencial,glassdoor,2019-10-16,GBP,data analyst,Mexico,MX,Latin America and the Caribbean
108,114305.0,Laudex,presencial,glassdoor,2019-10-23,,data analyst,Mexico,MX,Latin America and the Caribbean
109,116912.0,Marathon Petroleum,presencial,glassdoor,2019-10-28,,data analyst,Mexico,MX,Latin America and the Caribbean
110,124682.0,PepsiCo,presencial,glassdoor,2019-11-03,GBP,data analyst,Mexico,MX,Latin America and the Caribbean
111,124944.0,Hewlett Packard Enterprise | HPE,presencial,glassdoor,2019-10-19,GBP,data analyst,Mexico,MX,Latin America and the Caribbean
112,130064.0,CompuCom,presencial,glassdoor,2019-10-18,,data analyst,Mexico,MX,Latin America and the Caribbean
113,130191.0,HP Inc.,presencial,glassdoor,2019-11-08,GBP,data analyst,Mexico,MX,Latin America and the Caribbean
114,105650.0,Symbiotics,presencial,glassdoor,2019-11-07,,data analyst,Mexico,MX,Latin America and the Caribbean
115,105754.0,"Harley-Davidson, Inc.",presencial,glassdoor,2019-10-15,GBP,data analyst,Mexico,MX,Latin America and the Caribbean
116,109344.0,GE Healthcare,presencial,glassdoor,2019-10-22,GBP,data analyst,Mexico,MX,Latin America and the Caribbean
117,111397.0,Transfast,presencial,glassdoor,2019-11-07,GBP,data analyst,Mexico,MX,Latin America and the Caribbean
118,121243.0,TE Connectivity,presencial,glassdoor,2019-10-22,GBP,data analyst,Mexico,MX,Latin America and the Caribbean
119,132962.0,Hewlett Packard Enterprise | HPE,presencial,glassdoor,2019-11-05,GBP,data analyst,Mexico,MX,Latin America and the Caribbean
120,134544.0,Hewlett Packard Enterprise | HPE,presencial,glassdoor,2019-10-23,GBP,data analyst,Mexico,MX,Latin America and the Caribbean
121,115561.0,CEMEX,presencial,glassdoor,2019-10-25,GBP,data analyst,Mexico,MX,Latin America and the Caribbean
122,115683.0,HP Inc.,presencial,glassdoor,2019-10-26,GBP,data analyst,Mexico,MX,Latin America and the Caribbean
123,115938.0,PepsiCo,presencial,glassdoor,2019-11-02,GBP,data analyst,Mexico,MX,Latin America and the Caribbean
124,125210.0,Symbiotics,presencial,glassdoor,2019-11-07,,data analyst,Mexico,MX,Latin America and the Caribbean
125,125294.0,Marathon Petroleum,presencial,glassdoor,2019-10-28,,data analyst,Mexico,MX,Latin America and the Caribbean
126,138518.0,Hewlett Packard Enterprise | HPE,presencial,glassdoor,2019-10-30,GBP,data analyst,Mexico,MX,Latin America and the Caribbean
127,68624.0,Cognizant Technology Solutions,presencial,glassdoor,2019-11-07,GBP,data analyst,Mexico,MX,Latin America and the Caribbean
128,71480.0,bNEXT,presencial,glassdoor,2019-11-06,,data analyst,Mexico,MX,Latin America and the Caribbean
129,71522.0,Lenovo,presencial,glassdoor,2019-10-22,GBP,data analyst,Mexico,MX,Latin America and the Caribbean
130,74808.0,Fleet Complete,presencial,glassdoor,2019-11-01,,data analyst,Mexico,MX,Latin America and the Caribbean
131,74819.0,Aptiv,presencial,glassdoor,2019-10-25,GBP,data analyst,Mexico,MX,Latin America and the Caribbean
132,91968.0,AstraZeneca,presencial,glassdoor,2019-10-23,GBP,data analyst,Mexico,MX,Latin America and the Caribbean
133,8768.0,TE Connectivity,presencial,glassdoor,2019-11-05,GBP,data analyst,Mexico,MX,Latin America and the Caribbean
134,13612.0,Didi,presencial,glassdoor,2019-10-22,,data analyst,Mexico,MX,Latin America and the Caribbean
